image,type,style,color,material,shape,details,room_type,price_range,prompt
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x281FC1409D0>,bed,deco,coral,pine,geometric,fabric panels,master,standard,"Professional product photography of a deco coral bed, made of pine, geometric shape, featuring fabric panels, master in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x281FC140B00>,bed,coastal,ivory,leather,floating,metal accents,loft,standard,"Professional product photography of a coastal ivory bed, made of leather, floating shape, featuring metal accents, loft in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x281FC140C30>,bed,colonial,ivory,teak,canopy,extended headboard,vacation,premium,"Professional product photography of a colonial ivory bed, made of teak, canopy shape, featuring extended headboard, vacation in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x281FC140D60>,bed,industrial,emerald,velvet,geometric,no headboard,loft,budget,"Professional product photography of a industrial emerald bed, made of velvet, geometric shape, featuring no headboard, loft in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x281FC140E90>,bed,modern,silver,cotton,organic,wall mounted,master,premium,"Professional product photography of a modern silver bed, made of cotton, organic shape, featuring wall mounted, master in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x281FC140FC0>,bed,bohemian,gray,bamboo,organic,wooden slats,vacation,elite,"Professional product photography of a bohemian gray bed, made of bamboo, organic shape, featuring wooden slats, vacation in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x281FC1410F0>,bed,zen,mauve,cork,wingback,side rails,dorm,custom,"Professional product photography of a zen mauve bed, made of cork, wingback shape, featuring side rails, dorm in mind, custom price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x281FC141220>,bed,minimalist,white,bamboo,poster,fabric panels,penthouse,budget,"Professional product photography of a minimalist white bed, made of bamboo, poster shape, featuring fabric panels, penthouse in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x281FC141350>,bed,provincial,mauve,oak,wingback,leather trim,vacation,premium,"Professional product photography of a provincial mauve bed, made of oak, wingback shape, featuring leather trim, vacation in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x281FC141480>,bed,deco,gold,marble,canopy,adjustable base,suite,budget,"Professional product photography of a deco gold bed, made of marble, canopy shape, featuring adjustable base, suite in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x281FC1415B0>,bed,deco,white,bamboo,modular,no headboard,kids,elite,"Professional product photography of a deco white bed, made of bamboo, modular shape, featuring no headboard, kids in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x281FC1416E0>,bed,modern,gold,pine,organic,rounded corners,vacation,luxury,"Professional product photography of a modern gold bed, made of pine, organic shape, featuring rounded corners, vacation in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x281FC141810>,bed,coastal,beige,marble,asymmetric,raised platform,vacation,elite,"Professional product photography of a coastal beige bed, made of marble, asymmetric shape, featuring raised platform, vacation in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x281FC141940>,bed,rustic,emerald,teak,square,tall headboard,penthouse,premium,"Professional product photography of a rustic emerald bed, made of teak, square shape, featuring tall headboard, penthouse in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x281FC141A70>,bed,coastal,black,brass,round,side tables attached,nursery,elite,"Professional product photography of a coastal black bed, made of brass, round shape, featuring side tables attached, nursery in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x281FC141BA0>,bed,minimalist,burgundy,wool,curved,raised platform,dorm,premium,"Professional product photography of a minimalist burgundy bed, made of wool, curved shape, featuring raised platform, dorm in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x281FC141CD0>,bed,coastal,bronze,walnut,sleigh,side tables attached,penthouse,budget,"Professional product photography of a coastal bronze bed, made of walnut, sleigh shape, featuring side tables attached, penthouse in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x281FC141E00>,bed,bohemian,beige,steel,sleigh,fabric panels,master,budget,"Professional product photography of a bohemian beige bed, made of steel, sleigh shape, featuring fabric panels, master in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x281FC141F30>,bed,scandinavian,gray,oak,platform,low to ground,loft,budget,"Professional product photography of a scandinavian gray bed, made of oak, platform shape, featuring low to ground, loft in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x281FC142060>,bed,colonial,gold,bamboo,sleigh,flat base,dorm,budget,"Professional product photography of a colonial gold bed, made of bamboo, sleigh shape, featuring flat base, dorm in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
